"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Personal Details API","1","0","Should fail PATCH with missing firstName","0"
"0","","0","Auth API","5","0","Validate OTP - Wrong OTP Lifecycle","0"
"0","","0","Offers API","1","0","Should fail generate offers without auth","0"
"0","","0","Auth API","5","0","Check Account","0"
"0","","0","Offers API","1","0","Should fail GET offers list without auth","0"
"0","","0","Auth API","7","0","Send OTP","0"
"0","","0","Auth API","3","0","Validate OTP - Format Validation","0"
"0","","0","Pincode API","1","0","Should return error for short pincode 123","0"
"0","","0","Employee Income API","1","0","Should fail PATCH with empty body","0"
"0","","0","Offers API","1","0","Should succeed generate offers when onboarding is complete","0"
"0","","0","Loan API","1","0","Should fetch loan intent with GET","0"
"0","","0","Loan API","1","0","Should fail GET without auth token","0"
"0","","0","Employee Income API","1","0","Should fail GET without auth token","0"
"0","","0","Loan API","1","0","Should create loan intent with valid amount and purpose","0"
"0","","0","Loan API","1","0","Should fail POST without auth token","0"
"0","","0","Employee Income API","1","0","Should create or update employee income with valid payload","0"
"0","","0","Personal Details API","1","0","Should fail PATCH with empty body","0"
"0","","0","Personal Details API","1","0","Should fail PATCH with invalid email","0"
"0","","0","Job Seeker Offers","1","0","JOB_SEEKER yields no offers","0"
"0","","0","Offers API","1","0","Should fetch offers list with auth","0"
"0","","0","Onboarding API","1","0","Should fail GET onboarding status without auth","0"
"0","","1","Pan API","0","0","Should fail when PAN is already registered with another mobile","0"
"0","","0","Auth API","2","0","Logout","0"
"0","","0","Master API","1","0","Should fetch master data successfully","0"
"0","","0","Pincode API","1","0","Should return error for non-numeric pincode ABCDEF","0"
"0","","0","Personal Details API","1","0","Should fetch personal details with auth","0"
"0","","0","Happy Path","1","0","Onboarding E2E positive flow","0"
"0","","0","Loan API","1","0","Should fail with negative loan amount","0"
"0","","0","Employee Income API","1","0","Should fail PATCH without auth token","0"
"0","","0","Loan API","1","0","Should fail with amount below minimum (9999)","0"
"0","","0","Onboarding API","1","0","Should fetch onboarding status with auth","0"
"0","","0","Master API","1","0","Response contains valid employment types","0"
"0","","0","Employee Income API","1","0","Should fail PATCH with empty employmentType","0"
"0","","0","Personal Details API","1","0","Should create or update personal details with valid payload","0"
"0","","0","Personal Details API","1","0","Should fail GET without auth token","0"
"0","","0","Employee Income API","1","0","Should fetch employee income with GET","0"
"0","","1","Pan API","0","0","Should submit, verify and link a valid PAN successfully","0"
"0","","0","Personal Details API","1","0","Should fail PATCH with invalid pinCode","0"
"0","","0","Personal Details API","1","0","Should fail PATCH with invalid gender","0"
"0","","0","Loan API","1","0","Should fail with invalid loan purpose","0"
"0","","0","Loan API","1","0","Should fail with string loan amount","0"
"0","","0","Loan API","1","0","Should fail with empty request body","0"
"0","","0","Employee Income API","1","0","Should fail PATCH with missing employmentType","0"
"0","","0","Offers API","1","0","Should fail select offer without auth","0"
"0","","0","Master API","1","0","Response contains valid gender values","0"
"0","","0","Loan API","1","0","Should fail with amount above maximum (1000001)","0"
"0","","0","Auth API","1","0","Validate OTP - Successful","0"
"0","","0","Loan API","1","0","Should fail with missing loan purpose","0"
"0","","0","Employee Income API","1","0","Should fail PATCH with invalid employmentType","0"
"0","","0","Master API","1","0","PATCH master endpoint availability check","0"
"0","","0","Loan API","1","0","Should fail with zero loan amount","0"
"0","","0","Employee Income API","1","0","Should fail PATCH with incomeAmount below minimum","0"
"0","","0","Offers API","1","0","Should fail select non-existent offer","0"
"0","","0","Pincode API","1","0","Should return error for invalid pincode 000000","0"
"0","","0","Personal Details API","1","0","Should fail PATCH without auth token","0"
"0","","0","Pincode API","1","0","Should verify another valid pincode 301001","0"
"0","","0","Loan API","1","0","Should fail with missing loan amount","0"
"0","","0","Pincode API","1","0","Should verify valid pincode 110017","0"
"0","","0","Master API","1","0","Response contains income ranges","0"
